CM051183.1	157152855
CM051184.1	122006711
CM051185.1	119294532
CM051186.1	78532051
CM051187.1	78443464
CM051188.1	66577810
CM051189.1	48796610
CM051190.1	44359421
CM051191.1	39273983
CM051192.1	28492116
CM051193.1	28002281
CM051194.1	22576299
CM051195.1	22481186
CM051196.1	20337689
CM051197.1	19942864
CM051198.1	18829917
CM051199.1	17718754
CM051200.1	15993217
CM051201.1	13147743
CM051202.1	12882169
CM051203.1	12454605
CM051204.1	10553010
CM051205.1	9378704
CM051206.1	8927691
CM051207.1	8120544
CM051208.1	8025706
CM051209.1	7633124
CM051210.1	6574567
CM051211.1	6473977
CM051212.1	5774740
CM051213.1	5330327
CM051214.1	4945601
CM051215.1	4849416
CM051216.1	4512749
CM051217.1	2596542
JAQIHB010000037.1	51867
JAQIHB010000038.1	41887
CM051218.1	2074683
CM051219.1	1203310
CM051220.1	1088616
JAQIHB010000042.1	39931
JAQIHB010000043.1	32408
CM051221.1	884548
CM051222.1	88477388
JAQIHB010000077.1	730054
JAQIHB010000048.1	659752
JAQIHB010000078.1	610003
JAQIHB010000080.1	516507
JAQIHB010000081.1	503398
JAQIHB010000082.1	502746
JAQIHB010000058.1	502108
JAQIHB010000083.1	496294
JAQIHB010000084.1	496247
JAQIHB010000085.1	494937
JAQIHB010000050.1	493150
JAQIHB010000087.1	486754
JAQIHB010000088.1	482258
JAQIHB010000089.1	479995
JAQIHB010000090.1	455874
JAQIHB010000091.1	447972
JAQIHB010000092.1	447909
JAQIHB010000093.1	443965
JAQIHB010000094.1	440460
JAQIHB010000095.1	424846
JAQIHB010000096.1	420859
JAQIHB010000097.1	409402
JAQIHB010000098.1	404735
JAQIHB010000099.1	403002
JAQIHB010000051.1	400251
JAQIHB010000100.1	379196
JAQIHB010000101.1	374162
JAQIHB010000102.1	365873
JAQIHB010000103.1	350991
JAQIHB010000104.1	346568
JAQIHB010000105.1	344970
JAQIHB010000106.1	341789
JAQIHB010000107.1	336814
JAQIHB010000108.1	336111
JAQIHB010000109.1	328148
JAQIHB010000110.1	324161
JAQIHB010000111.1	323938
JAQIHB010000112.1	323347
JAQIHB010000113.1	310687
JAQIHB010000114.1	310635
JAQIHB010000115.1	310348
JAQIHB010000116.1	310269
JAQIHB010000117.1	308774
JAQIHB010000118.1	308227
JAQIHB010000119.1	307697
JAQIHB010000120.1	306521
JAQIHB010000121.1	304386
JAQIHB010000122.1	303078
JAQIHB010000123.1	296903
JAQIHB010000124.1	296466
JAQIHB010000125.1	288547
JAQIHB010000126.1	284038
JAQIHB010000127.1	280410
JAQIHB010000128.1	276164
JAQIHB010000129.1	263428
JAQIHB010000130.1	261474
JAQIHB010000131.1	254301
JAQIHB010000132.1	246999
JAQIHB010000133.1	235852
JAQIHB010000134.1	232862
JAQIHB010000135.1	229350
JAQIHB010000136.1	227533
JAQIHB010000137.1	226238
JAQIHB010000138.1	225760
JAQIHB010000139.1	221860
JAQIHB010000140.1	216916
JAQIHB010000141.1	210189
JAQIHB010000142.1	209705
JAQIHB010000143.1	206331
JAQIHB010000144.1	205952
JAQIHB010000145.1	203882
JAQIHB010000146.1	201328
JAQIHB010000147.1	194893
JAQIHB010000148.1	194400
JAQIHB010000149.1	194024
JAQIHB010000150.1	189959
JAQIHB010000151.1	189471
JAQIHB010000152.1	188934
JAQIHB010000054.1	186855
JAQIHB010000153.1	186346
JAQIHB010000154.1	184095
JAQIHB010000155.1	179454
JAQIHB010000156.1	178544
JAQIHB010000157.1	176311
JAQIHB010000158.1	169869
JAQIHB010000160.1	164287
JAQIHB010000161.1	163604
JAQIHB010000162.1	163260
JAQIHB010000163.1	162272
JAQIHB010000164.1	158962
JAQIHB010000165.1	152070
JAQIHB010000166.1	150868
JAQIHB010000167.1	150054
JAQIHB010000168.1	149890
JAQIHB010000169.1	147493
JAQIHB010000170.1	144873
JAQIHB010000171.1	139343
JAQIHB010000172.1	139254
JAQIHB010000173.1	137754
JAQIHB010000174.1	137649
JAQIHB010000175.1	137062
JAQIHB010000176.1	133118
JAQIHB010000177.1	130521
JAQIHB010000178.1	125703
JAQIHB010000179.1	125425
JAQIHB010000180.1	121330
JAQIHB010000181.1	120300
JAQIHB010000182.1	118992
JAQIHB010000183.1	118770
JAQIHB010000184.1	108421
JAQIHB010000052.1	108012
JAQIHB010000185.1	107095
JAQIHB010000186.1	104586
JAQIHB010000159.1	100399
JAQIHB010000187.1	99111
JAQIHB010000057.1	96439
JAQIHB010000188.1	94166
JAQIHB010000189.1	91632
JAQIHB010000190.1	85421
JAQIHB010000191.1	85088
JAQIHB010000192.1	84548
JAQIHB010000193.1	82706
JAQIHB010000194.1	81984
JAQIHB010000195.1	81046
JAQIHB010000196.1	80524
JAQIHB010000197.1	79562
JAQIHB010000198.1	77631
JAQIHB010000199.1	75284
JAQIHB010000200.1	73269
JAQIHB010000201.1	71914
JAQIHB010000202.1	70703
JAQIHB010000203.1	69202
JAQIHB010000204.1	69028
JAQIHB010000205.1	68601
JAQIHB010000206.1	66938
JAQIHB010000207.1	65971
JAQIHB010000208.1	65959
JAQIHB010000209.1	65834
JAQIHB010000210.1	65134
JAQIHB010000211.1	64335
JAQIHB010000212.1	64233
JAQIHB010000213.1	62791
JAQIHB010000214.1	62475
JAQIHB010000215.1	62429
JAQIHB010000216.1	61564
JAQIHB010000217.1	61412
JAQIHB010000218.1	60466
JAQIHB010000219.1	58682
JAQIHB010000056.1	55831
JAQIHB010000046.1	55749
JAQIHB010000047.1	55351
JAQIHB010000220.1	52312
JAQIHB010000221.1	52229
JAQIHB010000222.1	52118
JAQIHB010000223.1	52060
JAQIHB010000224.1	52003
JAQIHB010000225.1	50645
JAQIHB010000226.1	50252
JAQIHB010000227.1	49028
JAQIHB010000228.1	48714
JAQIHB010000229.1	47736
JAQIHB010000086.1	46937
JAQIHB010000230.1	45749
JAQIHB010000231.1	45345
JAQIHB010000232.1	44895
JAQIHB010000233.1	44072
JAQIHB010000234.1	43535
JAQIHB010000235.1	43040
JAQIHB010000236.1	42669
JAQIHB010000237.1	42178
JAQIHB010000238.1	41675
JAQIHB010000239.1	41324
JAQIHB010000240.1	41301
JAQIHB010000241.1	40789
JAQIHB010000242.1	38968
JAQIHB010000243.1	36721
JAQIHB010000244.1	36472
JAQIHB010000245.1	36377
JAQIHB010000246.1	35925
JAQIHB010000247.1	35909
JAQIHB010000248.1	35735
JAQIHB010000249.1	35214
JAQIHB010000250.1	34286
JAQIHB010000251.1	34269
JAQIHB010000273.1	33732
JAQIHB010000053.1	32955
JAQIHB010000252.1	32854
JAQIHB010000253.1	32845
JAQIHB010000254.1	32087
JAQIHB010000274.1	31237
JAQIHB010000255.1	31141
JAQIHB010000256.1	30990
JAQIHB010000257.1	30366
JAQIHB010000258.1	30044
