,well,compound,concentration,gene,group,AUC,file
512,F5,Cinobufagin,0.003125,Can_1,DRcurve,3467.343946,Data 11-08-23 2.txt
513,F6,Cinobufagin,0.003125,Can_1,DRcurve,3395.845702,Data 11-08-23 2.txt
514,G1,Cinobufagin,0.0015625,Can_1,DRcurve,2511.568274,Data 11-08-23 2.txt
515,G2,Cinobufagin,0.0015625,Can_1,DRcurve,2600.481202,Data 11-08-23 2.txt
516,G3,Cinobufagin,0.0015625,Can_1,DRcurve,3202.070497,Data 11-08-23 2.txt
517,G4,Cinobufagin,0.0015625,Can_1,DRcurve,3083.813665,Data 11-08-23 2.txt
518,G5,Cinobufagin,0.0015625,Can_1,DRcurve,3920.234357,Data 11-08-23 2.txt
519,G6,Cinobufagin,0.0015625,Can_1,DRcurve,3340.695336,Data 11-08-23 2.txt
520,H1,Cinobufagin,0.000195313,Can_1,DRcurve,3369.616244,Data 11-08-23 2.txt
521,H2,Cinobufagin,0.000195313,Can_1,DRcurve,2803.890636,Data 11-08-23 2.txt
522,H3,Cinobufagin,0.000195313,Can_1,DRcurve,2725.903593,Data 11-08-23 2.txt
523,H4,Cinobufagin,0.000195313,Can_1,DRcurve,3281.286701,Data 11-08-23 2.txt
524,H5,Cinobufagin,0.000195313,Can_1,DRcurve,3301.52684,Data 11-08-23 2.txt
525,H6,Cinobufagin,0.000195313,Can_1,DRcurve,2969.503692,Data 11-08-23 2.txt
526,B1,Marinobufagenin,0.05,Bul_4,DRcurve,10424.5139,Data 11-09-23 1.txt
527,B10,AflatoxinB1,0.05,Xen_2,DRcurve,7570.398833,Data 11-09-23 1.txt
528,B11,AflatoxinB1,0.05,Xen_2,DRcurve,7379.356662,Data 11-09-23 1.txt
529,B12,AflatoxinB1,0.05,Xen_2,DRcurve,5563.535589,Data 11-09-23 1.txt
530,B2,Marinobufagenin,0.05,Bul_4,DRcurve,9984.006184,Data 11-09-23 1.txt
531,B3,Marinobufagenin,0.05,Bul_4,DRcurve,9214.995602,Data 11-09-23 1.txt
532,B4,Marinobufagenin,0.05,Can_3,DRcurve,9049.703107,Data 11-09-23 1.txt
533,B5,Marinobufagenin,0.05,Can_3,DRcurve,7982.291506,Data 11-09-23 1.txt
534,B6,Marinobufagenin,0.05,Can_3,DRcurve,8358.331567,Data 11-09-23 1.txt
535,B7,AflatoxinB1,0.05,Xen_2,DRcurve,8153.214643,Data 11-09-23 1.txt
536,B8,AflatoxinB1,0.05,Xen_2,DRcurve,7071.420155,Data 11-09-23 1.txt
537,B9,AflatoxinB1,0.05,Xen_2,DRcurve,5056.146192,Data 11-09-23 1.txt
538,C1,Marinobufagenin,0.025,Bul_4,DRcurve,5908.807553,Data 11-09-23 1.txt
539,C10,AflatoxinB1,0.025,Xen_2,DRcurve,6188.555513,Data 11-09-23 1.txt
540,C11,AflatoxinB1,0.025,Xen_2,DRcurve,5594.572507,Data 11-09-23 1.txt
541,C12,AflatoxinB1,0.025,Xen_2,DRcurve,4154.444462,Data 11-09-23 1.txt
542,C2,Marinobufagenin,0.025,Bul_4,DRcurve,5924.176301,Data 11-09-23 1.txt
543,C3,Marinobufagenin,0.025,Bul_4,DRcurve,6492.497907,Data 11-09-23 1.txt
544,C4,Marinobufagenin,0.025,Can_3,DRcurve,6447.386894,Data 11-09-23 1.txt
545,C5,Marinobufagenin,0.025,Can_3,DRcurve,6056.263276,Data 11-09-23 1.txt
546,C6,Marinobufagenin,0.025,Can_3,DRcurve,5299.848314,Data 11-09-23 1.txt
547,C7,AflatoxinB1,0.025,Xen_2,DRcurve,5244.286257,Data 11-09-23 1.txt
548,C8,AflatoxinB1,0.025,Xen_2,DRcurve,6087.487769,Data 11-09-23 1.txt
549,C9,AflatoxinB1,0.025,Xen_2,DRcurve,6794.873612,Data 11-09-23 1.txt
550,D1,Marinobufagenin,0.0125,Bul_4,DRcurve,5113.526035,Data 11-09-23 1.txt
551,D10,AflatoxinB1,0.0125,Xen_2,DRcurve,4987.914049,Data 11-09-23 1.txt
552,D11,AflatoxinB1,0.0125,Xen_2,DRcurve,5023.518379,Data 11-09-23 1.txt
553,D12,AflatoxinB1,0.0125,Xen_2,DRcurve,4906.772114,Data 11-09-23 1.txt
554,D2,Marinobufagenin,0.0125,Bul_4,DRcurve,4184.623397,Data 11-09-23 1.txt
555,D3,Marinobufagenin,0.0125,Bul_4,DRcurve,3565.999529,Data 11-09-23 1.txt
556,D4,Marinobufagenin,0.0125,Can_3,DRcurve,5715.544974,Data 11-09-23 1.txt
557,D5,Marinobufagenin,0.0125,Can_3,DRcurve,5339.2925,Data 11-09-23 1.txt
558,D6,Marinobufagenin,0.0125,Can_3,DRcurve,4501.075507,Data 11-09-23 1.txt
559,D7,AflatoxinB1,0.0125,Xen_2,DRcurve,6248.904934,Data 11-09-23 1.txt
560,D8,AflatoxinB1,0.0125,Xen_2,DRcurve,6384.729162,Data 11-09-23 1.txt
561,D9,AflatoxinB1,0.0125,Xen_2,DRcurve,5224.640856,Data 11-09-23 1.txt
562,E1,Marinobufagenin,0.00625,Bul_4,DRcurve,3349.331853,Data 11-09-23 1.txt
563,E10,AflatoxinB1,0.00625,Xen_2,DRcurve,5180.122143,Data 11-09-23 1.txt
564,E11,AflatoxinB1,0.00625,Xen_2,DRcurve,5419.81621,Data 11-09-23 1.txt
565,E12,AflatoxinB1,0.00625,Xen_2,DRcurve,3616.463154,Data 11-09-23 1.txt
566,E2,Marinobufagenin,0.00625,Bul_4,DRcurve,3599.174759,Data 11-09-23 1.txt
567,E3,Marinobufagenin,0.00625,Bul_4,DRcurve,3795.768828,Data 11-09-23 1.txt
568,E4,Marinobufagenin,0.00625,Can_3,DRcurve,4746.31242,Data 11-09-23 1.txt
569,E5,Marinobufagenin,0.00625,Can_3,DRcurve,5207.599944,Data 11-09-23 1.txt
570,E6,Marinobufagenin,0.00625,Can_3,DRcurve,3956.713281,Data 11-09-23 1.txt
571,E7,AflatoxinB1,0.00625,Xen_2,DRcurve,4690.655208,Data 11-09-23 1.txt
572,E8,AflatoxinB1,0.00625,Xen_2,DRcurve,4521.458586,Data 11-09-23 1.txt
573,E9,AflatoxinB1,0.00625,Xen_2,DRcurve,4592.261142,Data 11-09-23 1.txt
574,F1,Marinobufagenin,0.003125,Bul_4,DRcurve,3058.895931,Data 11-09-23 1.txt
575,F10,AflatoxinB1,0.003125,Xen_2,DRcurve,5028.903882,Data 11-09-23 1.txt
576,F11,AflatoxinB1,0.003125,Xen_2,DRcurve,4648.697463,Data 11-09-23 1.txt
577,F12,AflatoxinB1,0.003125,Xen_2,DRcurve,4055.42445,Data 11-09-23 1.txt
578,F2,Marinobufagenin,0.003125,Bul_4,DRcurve,3662.222713,Data 11-09-23 1.txt
579,F3,Marinobufagenin,0.003125,Bul_4,DRcurve,2985.804346,Data 11-09-23 1.txt
580,F4,Marinobufagenin,0.003125,Can_3,DRcurve,3405.794115,Data 11-09-23 1.txt
581,F5,Marinobufagenin,0.003125,Can_3,DRcurve,3107.519168,Data 11-09-23 1.txt
582,F6,Marinobufagenin,0.003125,Can_3,DRcurve,3906.55876,Data 11-09-23 1.txt
583,F7,AflatoxinB1,0.003125,Xen_2,DRcurve,4374.811592,Data 11-09-23 1.txt
584,F8,AflatoxinB1,0.003125,Xen_2,DRcurve,5456.522458,Data 11-09-23 1.txt
585,F9,AflatoxinB1,0.003125,Xen_2,DRcurve,4638.400106,Data 11-09-23 1.txt
586,G1,Marinobufagenin,0.0015625,Bul_4,DRcurve,2793.026699,Data 11-09-23 1.txt
587,G10,AflatoxinB1,0.0015625,Xen_2,DRcurve,4619.049692,Data 11-09-23 1.txt
588,G11,AflatoxinB1,0.0015625,Xen_2,DRcurve,4112.736837,Data 11-09-23 1.txt
589,G12,AflatoxinB1,0.0015625,Xen_2,DRcurve,3622.734659,Data 11-09-23 1.txt
590,G2,Marinobufagenin,0.0015625,Bul_4,DRcurve,3437.29425,Data 11-09-23 1.txt
591,G3,Marinobufagenin,0.0015625,Bul_4,DRcurve,2562.336669,Data 11-09-23 1.txt
592,G4,Marinobufagenin,0.0015625,Can_3,DRcurve,2688.431962,Data 11-09-23 1.txt
593,G5,Marinobufagenin,0.0015625,Can_3,DRcurve,3040.803124,Data 11-09-23 1.txt
594,G6,Marinobufagenin,0.0015625,Can_3,DRcurve,2204.786683,Data 11-09-23 1.txt
595,G7,AflatoxinB1,0.0015625,Xen_2,DRcurve,4325.046699,Data 11-09-23 1.txt
596,G8,AflatoxinB1,0.0015625,Xen_2,DRcurve,5246.8285,Data 11-09-23 1.txt
597,G9,AflatoxinB1,0.0015625,Xen_2,DRcurve,4275.932291,Data 11-09-23 1.txt
598,H1,Marinobufagenin,0.000195313,Bul_4,DRcurve,2916.373005,Data 11-09-23 1.txt
599,H10,AflatoxinB1,0.000195313,Xen_2,DRcurve,4539.432757,Data 11-09-23 1.txt
600,H11,AflatoxinB1,0.000195313,Xen_2,DRcurve,4358.144212,Data 11-09-23 1.txt
601,H12,AflatoxinB1,0.000195313,Xen_2,DRcurve,2873.023864,Data 11-09-23 1.txt
602,H2,Marinobufagenin,0.000195313,Bul_4,DRcurve,3230.070305,Data 11-09-23 1.txt
603,H3,Marinobufagenin,0.000195313,Bul_4,DRcurve,3123.79081,Data 11-09-23 1.txt
604,H4,Marinobufagenin,0.000195313,Can_3,DRcurve,2002.165946,Data 11-09-23 1.txt
605,H5,Marinobufagenin,0.000195313,Can_3,DRcurve,2471.019755,Data 11-09-23 1.txt
606,H6,Marinobufagenin,0.000195313,Can_3,DRcurve,1871.870035,Data 11-09-23 1.txt
607,H7,AflatoxinB1,0.000195313,Xen_2,DRcurve,4820.14794,Data 11-09-23 1.txt
608,H8,AflatoxinB1,0.000195313,Xen_2,DRcurve,4220.481159,Data 11-09-23 1.txt
609,H9,AflatoxinB1,0.000195313,Xen_2,DRcurve,4327.088653,Data 11-09-23 1.txt
