"Accession","class"
"GCA_014839685.1","Actinopteri"
"GCA_014839755.1","Aves"
"GCA_014839835.1","Aves"
"GCA_014839995.1","Actinopteri"
"GCA_014858855.1","Amphibia"
"GCA_014905685.2","Actinopteri"
"GCA_014905855.1","Mammalia"
"GCA_015220075.1","Aves"
"GCA_015220235.1","Mammalia"
"GCA_015220715.1","Actinopteri"
"GCA_015220745.1","Actinopteri"
"GCA_015220805.1","Aves"
"GCA_015227675.2","Mammalia"
"GCA_015227805.3","Aves"
"GCA_015227895.2","Aves"
"GCA_015237465.2","Lepidosauria"
"GCA_015343265.1","Actinopteri"
"GCA_015476345.1","Aves"
"GCA_015532645.2","Aves"
"GCA_015708825.1","Hyperoartia"
"GCA_015711505.1","Mammalia"
"GCA_015741225.1","Mammalia"
"GCA_015832195.1","Aves"
"GCA_015846415.1","Actinopteri"
"GCA_015852505.1","Mammalia"
"GCA_015883425.2","Aves"
"GCA_016077325.2","Mammalia"
"GCA_016128335.2","Aves"
"GCA_016161935.1","Lepidosauria"
"GCA_016432855.1","Actinopteri"
"GCA_016432865.2","Mammalia"
"GCA_016433145.1","Mammalia"
"GCA_016509475.2","Mammalia"
"GCA_016699485.1","Aves"
"GCA_016735935.1","Actinopteri"
"GCA_016772045.1","Mammalia"
"GCA_016801065.1","Lepidosauria"
"GCA_016801845.1","Actinopteri"
"GCA_016801885.1","Actinopteri"
"GCA_016801935.1","Actinopteri"
"GCA_016835505.1","Cladistia"
"GCA_016859285.1","Actinopteri"
"GCA_016859345.1","Actinopteri"
"GCA_016881025.1","Mammalia"
"GCA_016904835.1","Aves"
"GCA_016906955.1","Mammalia"
"GCA_016920845.1","Actinopteri"
"GCA_017165825.1","Actinopteri"
"GCA_017589495.2","Actinopteri"
"GCA_017591415.1","Actinopteri"
"GCA_017591445.1","Mammalia"
"GCA_017639245.1","Aves"
"GCA_017639355.1","Aves"
"GCA_017639485.1","Aves"
"GCA_017639515.1","Chondrichthyes"
"GCA_017639555.1","Aves"
"GCA_017639655.1","Aves"
"GCA_017639675.1","Actinopteri"
"GCA_017639745.1","Actinopteri"
"GCA_017654505.1","Actinopteri"
"GCA_017654675.1","Amphibia"
"GCA_017976325.1","Actinopteri"
"GCA_017976375.1","Aves"
"GCA_017976425.1","Actinopteri"
"GCA_018104995.1","Aves"
"GCA_018136845.1","Actinopteri"
"GCA_018139145.2","Aves"
"GCA_018296145.1","Actinopteri"
"GCA_018320785.1","Actinopteri"
"GCA_018340385.1","Actinopteri"
"GCA_018345385.1","Mammalia"
"GCA_018350155.1","Mammalia"
"GCA_018350175.1","Mammalia"
"GCA_018350195.2","Mammalia"
"GCA_018350215.1","Mammalia"
"GCA_018466805.1","Actinopteri"
"GCA_018492685.1","Actinopteri"
"GCA_018555375.2","Actinopteri"
"GCA_018697195.1","Aves"
"GCA_018749465.1","Actinopteri"
"GCA_018812025.1","Actinopteri"
"GCA_018831695.1","Actinopteri"
"GCA_018994145.1","Amphibia"
"GCA_019023105.1","Aves"
"GCA_019097595.1","Actinopteri"
"GCA_019155185.1","Actinopteri"
"GCA_019175285.1","Lepidosauria"
"GCA_019176425.1","Actinopteri"
"GCA_019176455.1","Actinopteri"
"GCA_019279795.1","Ceratodontoidei"
"GCA_019320065.1","Mammalia"
"GCA_019393635.1","Mammalia"
"GCA_019425775.1","Lepidosauria"
"GCA_019447015.1","Amphibia"
"GCA_019453435.1","Actinopteri"
"GCA_019472885.1","Lepidosauria"
"GCA_019473425.1","Lepidosauria"
"GCA_019512145.1","Amphibia"
"GCA_019677235.1","Actinopteri"
"GCA_019703515.2","Actinopteri"
"GCA_019740435.1","Actinopteri"
"GCA_019802545.1","Actinopteri"
"GCA_019802595.1","Actinopteri"
"GCA_019857665.1","Amphibia"
"GCA_019903745.2","Mammalia"
"GCA_019923935.1","Mammalia"
"GCA_019924925.1","Actinopteri"
"GCA_019924945.1","Mammalia"
"GCA_019925145.1","Actinopteri"
"GCA_020085105.1","Actinopteri"
"GCA_020091685.1","Actinopteri"
"GCA_020142125.1","Lepidosauria"
"GCA_020171115.1","Mammalia"
"GCA_020184715.1","Actinopteri"
"GCA_020226045.1","Mammalia"
"GCA_020226075.1","Mammalia"
"GCA_020276665.1","Mammalia"
"GCA_020382885.1","Actinopteri"
"GCA_020466265.1","Actinopteri"
"GCA_020497125.1","Lepidosauria"
"GCA_020510985.1","Actinopteri"
"GCA_020615455.1","Actinopteri"
"GCA_020698575.1","Actinopteri"
"GCA_020740605.1","Mammalia"
"GCA_020740685.1","Mammalia"
"GCA_020740725.1","Aves"
"GCA_020740795.1","Aves"
"GCA_020745685.1","Actinopteri"
"GCA_020745705.1","Aves"
"GCA_020745735.1","Chondrichthyes"
"GCA_020745775.1","Aves"
"GCA_020745825.3","Aves"
"GCA_020746105.1","Aves"
"GCA_020800305.1","Aves"
"GCA_020826845.1","Mammalia"
"GCA_020854095.1","Mammalia"
"GCA_020976825.1","Mammalia"
"GCA_021018805.1","Aves"
"GCA_021018895.1","Actinopteri"
"GCA_021028975.2","Lepidosauria"
"GCA_021184085.1","Actinopteri"
"GCA_021288785.3","Mammalia"
"GCA_021292165.1","Lepidosauria"
"GCA_021292245.1","Actinopteri"
"GCA_021346845.1","Actinopteri"
"GCA_021347895.1","Actinopteri"
"GCA_021442165.1","Mammalia"
"GCA_021462225.2","Actinopteri"
"GCA_021464625.1","Actinopteri"
"GCA_021498455.1","Mammalia"
"GCA_021498465.1","Mammalia"
"GCA_021498475.1","Mammalia"
"GCA_021554675.1","Actinopteri"
"GCA_021613375.1","Actinopteri"
"GCA_021613505.1","Mammalia"
"GCA_021869965.1","Chondrichthyes"
"GCA_021917145.1","Actinopteri"
"GCA_022316705.1","Chondrichthyes"
"GCA_022355385.1","Mammalia"
"GCA_022379125.1","Actinopteri"
"GCA_022458985.1","Actinopteri"
"GCA_022539315.2","Aves"
"GCA_022539355.2","Actinopteri"
"GCA_022539595.1","Actinopteri"
"GCA_022655615.1","Actinopteri"
"GCA_022682495.1","Mammalia"
"GCA_022702415.1","Actinopteri"
"GCA_022702515.1","Actinopteri"
"GCA_022702525.1","Actinopteri"
"GCA_022758105.1","Actinopteri"
"GCA_022817975.1","Actinopteri"
"GCA_022828995.1","Actinopteri"
"GCA_022829025.1","Actinopteri"
"GCA_022829085.1","Actinopteri"
"GCA_022829145.1","Actinopteri"
"GCA_022837055.1","Mammalia"
"GCA_022985145.1","Actinopteri"
"GCA_022985175.1","Actinopteri"
"GCA_023029165.1","Actinopteri"
"GCA_023065765.1","Mammalia"
"GCA_023065955.2","Mammalia"
"GCA_023079485.1","Aves"
"GCA_023091745.2","Mammalia"
"GCA_023159225.1","Mammalia"
"GCA_023238725.1","Actinopteri"
"GCA_023343835.1","Aves"
"GCA_023373465.1","Actinopteri"
"GCA_023373845.1","Actinopteri"
"GCA_023375685.2","Actinopteri"
"GCA_023375975.1","Actinopteri"
"GCA_023376015.1","Aves"
"GCA_023376895.1","Actinopteri"
"GCA_023566125.1","Actinopteri"
"GCA_023566225.1","Actinopteri"
"GCA_023566465.1","Actinopteri"
"GCA_023630585.1","Actinopteri"
"GCA_023631565.1","Actinopteri"
"GCA_023634085.1","Aves"
"GCA_023634145.1","Actinopteri"
"GCA_023634155.1","Aves"
"GCA_023638135.1","Aves"
"GCA_023653725.1","Lepidosauria"
"GCA_023653815.1","Lepidosauria"
"GCA_023658055.1","Actinopteri"
"GCA_023699985.2","Mammalia"
"GCA_023718395.1","Actinopteri"
"GCA_023721935.1","Mammalia"
"GCA_023724105.1","Actinopteri"
"GCA_023851605.1","Mammalia"
"GCA_023856365.1","Actinopteri"
"GCA_023856395.1","Mammalia"
"GCA_023898255.1","Mammalia"
"GCA_023969325.1","Actinopteri"
"GCA_023974075.1","Actinopteri"
"GCA_024139225.1","Mammalia"
"GCA_024166365.1","Mammalia"
"GCA_024217435.4","Actinopteri"
"GCA_024256425.2","Actinopteri"
"GCA_024291935.2","Mammalia"
"GCA_024294585.1","Lepidosauria"
"GCA_024363595.1","Amphibia"
"GCA_024416835.2","Actinopteri"
"GCA_024453875.1","Actinopteri"
"GCA_024489055.1","Actinopteri"
"GCA_024500275.1","Actinopteri"
"GCA_024500485.1","Mammalia"
"GCA_024509145.1","Aves"
"GCA_024542745.1","Mammalia"
"GCA_024666655.1","Actinopteri"
"GCA_024679245.1","Actinopteri"
"GCA_024760905.1","Actinopteri"
